Measure Names,Occupation,Measure Values
"Employment change, 2022-32",  Accountants and auditors,67.4
"Employment, 2022",  Accountants and auditors,"1,538.4"
"Employment, 2032",  Accountants and auditors,"1,605.8"
Median annual wage 2022,  Accountants and auditors,"78,000"
"Percent employment change, 2022-32",  Accountants and auditors,4.4
Percent women 2022,  Accountants and auditors,0.587865715
"Employment change, 2022-32",  Animal caretakers,52.5
"Employment, 2022",  Animal caretakers,339
"Employment, 2032",  Animal caretakers,391.5
Median annual wage 2022,  Animal caretakers,"29,530"
"Percent employment change, 2022-32",  Animal caretakers,15.5
Percent women 2022,  Animal caretakers,0.759193919
"Employment change, 2022-32",  Computer and information systems managers,86
"Employment, 2022",  Computer and information systems managers,557.4
"Employment, 2032",  Computer and information systems managers,643.3
Median annual wage 2022,  Computer and information systems managers,"164,070"
"Percent employment change, 2022-32",  Computer and information systems managers,15.4
Percent women 2022,  Computer and information systems managers,0.276658568
"Employment change, 2022-32",  Computer systems analysts,51.1
"Employment, 2022",  Computer systems analysts,531.4
"Employment, 2032",  Computer systems analysts,582.6
Median annual wage 2022,  Computer systems analysts,"102,240"
"Percent employment change, 2022-32",  Computer systems analysts,9.6
Percent women 2022,  Computer systems analysts,0.401743494
"Employment change, 2022-32",  Construction laborers,61.9
"Employment, 2022",  Construction laborers,"1,418.6"
"Employment, 2032",  Construction laborers,"1,480.5"
Median annual wage 2022,  Construction laborers,"40,750"
"Percent employment change, 2022-32",  Construction laborers,4.4
Percent women 2022,  Construction laborers,0.039457000
"Employment change, 2022-32","  Cooks, restaurant",277.6
"Employment, 2022","  Cooks, restaurant","1,361.2"
"Employment, 2032","  Cooks, restaurant","1,638.9"
Median annual wage 2022,"  Cooks, restaurant","34,110"
"Percent employment change, 2022-32","  Cooks, restaurant",20.4
Percent women 2022,"  Cooks, restaurant",0.411026844
"Employment change, 2022-32",  Data scientists,59.4
"Employment, 2022",  Data scientists,168.9
"Employment, 2032",  Data scientists,228.2
