,WHO Region,ISO3,WHO Country Name,City or Locality,Measurement Year,NO2 (μg/m3),NO2 temporal coverage (%),Population,Average NO2
0,European Region,ALB,Albania,Elbasan,2015,23.96,97.85388128,2880703.0,23.96
1,European Region,ALB,Albania,Elbasan,2016,26.26,96.0496357,2876101.0,26.26
2,European Region,AND,Andorra,Escaldes-Engordany,2012,31.64,100.0,71013.0,31.64
3,European Region,AND,Andorra,Escaldes-Engordany,2014,27.62,100.0,71621.0,27.62
4,European Region,AND,Andorra,Escaldes-Engordany,2015,26.65,94.55479452,71746.0,26.65
5,European Region,AND,Andorra,Escaldes-Engordany,2016,26.98,94.96812386,72540.0,26.98
6,European Region,AND,Andorra,Escaldes-Engordany,2017,28.74,95.10273973,73837.0,28.74
7,European Region,AND,Andorra,Escaldes-Engordany,2018,26.55,93.39041096,75013.0,26.55
8,European Region,AND,Andorra,Escaldes-Engordany,2019,31.01,92.1803653,76343.0,31.01
9,Region of the Americas,ARG,Argentina,Buenos Aires,2016,15.35,91.6666666666666,43590368.0,15.35
10,Region of the Americas,ARG,Argentina,Buenos Aires,2017,19.57,100.0,44044811.0,19.57
11,Western Pacific Region,AUS,Australia,Adelaide,2013,8.65,94.47,23128129.0,10.34
12,Western Pacific Region,AUS,Australia,Wollongong/Illawarra,2013,12.03,95.35,23128129.0,10.34
13,Western Pacific Region,AUS,Australia,Adelaide,2014,9.4,96.34,23475686.0,13.253333333333332
14,Western Pacific Region,AUS,Australia,Muswellbrook,2014,19.47,95.02,23475686.0,13.253333333333332
15,Western Pacific Region,AUS,Australia,Wollongong/Illawarra,2014,10.89,95.36,23475686.0,13.253333333333332
16,Western Pacific Region,AUS,Australia,Adelaide,2015,9.78,94.46,23815995.0,7.792
17,Western Pacific Region,AUS,Australia,Darwin,2015,5.1,95.0,23815995.0,7.792
18,Western Pacific Region,AUS,Australia,Palmerston,2015,7.4,94.0,23815995.0,7.792
19,Western Pacific Region,AUS,Australia,Palmerston,2015,7.4,95.08,23815995.0,7.792
20,Western Pacific Region,AUS,Australia,Wyong,2015,9.28,95.39,23815995.0,7.792
21,Western Pacific Region,AUS,Australia,Adelaide,2019,11.57,91.8571428571428,25340217.0,9.392105263157895
22,Western Pacific Region,AUS,Australia,Brisbane,2019,8.43,98.3333333333333,25340217.0,9.392105263157895
23,Western Pacific Region,AUS,Australia,Canberra,2019,9.42,93.65,25340217.0,9.392105263157895
24,Western Pacific Region,AUS,Australia,Central Coast,2019,7.83,97.5339999999999,25340217.0,9.392105263157895
25,Western Pacific Region,AUS,Australia,Darwin,2019,3.65,90.9999999999999,25340217.0,9.392105263157895
26,Western Pacific Region,AUS,Australia,Gladstone,2019,4.77,98.3333333333333,25340217.0,9.392105263157895
27,Western Pacific Region,AUS,Australia,Gold Coast,2019,6.3,98.0,25340217.0,9.392105263157895
28,Western Pacific Region,AUS,Australia,Gunnedah,2019,9.7,98.0819999999999,25340217.0,9.392105263157895
29,Western Pacific Region,AUS,Australia,Ipswich,2019,9.9,99.0,25340217.0,9.392105263157895
30,Western Pacific Region,AUS,Australia,Muswellbrook,2019,20.46,97.5,25340217.0,9.392105263157895
31,Western Pacific Region,AUS,Australia,Newcastle/Lower Hunter,2019,15.72,95.3423333333333,25340217.0,9.392105263157895
32,Western Pacific Region,AUS,Australia,Palmerston,2019,4.5,94.0,25340217.0,9.392105263157895
33,Western Pacific Region,AUS,Australia,Perth,2019,9.09,97.35,25340217.0,9.392105263157895
34,Western Pacific Region,AUS,Australia,Perth,2019,9.09,97.35,25340217.0,9.392105263157895
35,Western Pacific Region,AUS,Australia,Singleton,2019,14.23,97.3,25340217.0,9.392105263157895
36,Western Pacific Region,AUS,Australia,Sunshine Coast,2019,4.8,100.0,25340217.0,9.392105263157895
37,Western Pacific Region,AUS,Australia,Sydney,2019,15.31,97.2418,25340217.0,9.392105263157895
38,Western Pacific Region,AUS,Australia,Townsville,2019,3.5,96.0,25340217.0,9.392105263157895
39,Western Pacific Region,AUS,Australia,Wollongong/Illawarra,2019,10.18,97.1686666666666,25340217.0,9.392105263157895
40,Western Pacific Region,AUS,Australia,Brisbane,2016,7.22,94.6,24190907.0,8.6
41,Western Pacific Region,AUS,Australia,Darwin,2016,5.0,95.0,24190907.0,8.6
42,Western Pacific Region,AUS,Australia,Palmerston,2016,3.8,93.0,24190907.0,8.6
43,Western Pacific Region,AUS,Australia,Perth,2016,3.76,99.6,24190907.0,8.6
44,Western Pacific Region,AUS,Australia,Singleton,2016,17.13,95.16,24190907.0,8.6
45,Western Pacific Region,AUS,Australia,Sydney,2016,14.69,95.21,24190907.0,8.6
46,Western Pacific Region,AUS,Australia,Palmerston,2012,7.0,95.09,22733465.0,7.0
47,Western Pacific Region,AUS,Australia,Palmerston,2018,4.9,96.0,24966643.0,4.9
48,European Region,AUT,Austria,Am Rechen,2013,15.69,95.12557078,8479823.0,21.412912621359226
49,European Region,AUT,Austria,Amstetten,2013,22.4,94.84018265,8479823.0,21.412912621359226
