unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value
172653,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2011,2010-12-01T00:00:00.000,25.30
172585,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2009,2008-12-01T00:00:00.000,26.93
336637,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Annual Average 2015,2015-01-01T00:00:00.000,19.09
336622,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Annual Average 2015,2015-01-01T00:00:00.000,19.76
172582,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Annual Average 2009,2008-12-01T00:00:00.000,22.83
667327,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Annual Average 2020,2020-01-01T00:00:00.000,16.19
172607,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Annual Average 2009,2008-12-01T00:00:00.000,38.16
172675,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308,Chelsea-Village,Annual Average 2011,2010-12-01T00:00:00.000,34.96
175345,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Winter 2010-11,2010-12-01T00:00:00.000,30.10
176689,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Annual Average 2013,2012-12-01T00:00:00.000,20.23
176682,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2013,2012-12-01T00:00:00.000,23.73
336507,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Winter 2014-15,2014-12-01T00:00:00.000,26.00
740910,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2021,2021-01-01T00:00:00.000,18.04
175348,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Winter 2010-11,2010-12-01T00:00:00.000,28.44
175894,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2009,2009-06-01T00:00:00.000,18.95
175895,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2009,2009-06-01T00:00:00.000,15.22
175349,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Winter 2010-11,2010-12-01T00:00:00.000,25.70
176693,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2013,2012-12-01T00:00:00.000,16.36
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Annual Average 2021,2021-01-01T00:00:00.000,11.41
550028,375,Nitrogen dioxide (NO2),Mean,ppb,CD,201,Mott Haven and Melrose (CD1),Annual Average 2017,2017-01-01T00:00:00.000,21.25
336723,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Winter 2014-15,2014-12-01T00:00:00.000,30.40
741126,375,Nitrogen dioxide (NO2),Mean,ppb,CD,101,Financial District (CD1),Annual Average 2021,2021-01-01T00:00:00.000,21.61
165858,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Winter 2010-11,2010-12-01T00:00:00.000,36.79
166625,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2009,2009-06-01T00:00:00.000,31.63
167746,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Annual Average 2013,2012-12-01T00:00:00.000,29.27
336852,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Winter 2014-15,2014-12-01T00:00:00.000,26.28
741255,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Annual Average 2021,2021-01-01T00:00:00.000,20.21
171599,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Winter 2009-10,2009-12-01T00:00:00.000,28.86
549907,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Summer 2017,2017-06-01T00:00:00.000,13.39
602850,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Summer 2018,2018-06-01T00:00:00.000,11.97
171595,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Winter 2009-10,2009-12-01T00:00:00.000,23.87
549895,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Summer 2017,2017-06-01T00:00:00.000,14.14
643458,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,201,Greenpoint,Winter 2018-19,2018-12-01T00:00:00.000,26.69
211654,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,Kingsbridge - Riverdale,Summer 2014,2014-06-01T00:00:00.000,13.55
643446,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,Kingsbridge - Riverdale,Winter 2018-19,2018-12-01T00:00:00.000,18.32
211655,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Summer 2014,2014-06-01T00:00:00.000,15.40
643449,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Winter 2018-19,2018-12-01T00:00:00.000,19.11
211674,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Summer 2014,2014-06-01T00:00:00.000,16.64
643506,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Winter 2018-19,2018-12-01T00:00:00.000,24.36
172662,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,301,Washington Heights,Annual Average 2011,2010-12-01T00:00:00.000,25.56
667399,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,301,Washington Heights,Annual Average 2020,2020-01-01T00:00:00.000,18.08
175885,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2009,2009-06-01T00:00:00.000,23.00
